	micha-ii-48	inc-ii-48	sommer--ii-48	fr111-ii-48	lanzarote-ii-48	fr751-ii-48	lancellotto-ii-48
0	avoir trové. » 	auoir trouue 	auoir troue fait elle. 	auoir trouue. 	queria fallar muy de grado 	auoir troue 	avere trovato». 
1	Si li conte tote s’aventure issi 	si luy compte toute son auanture 	si li conte toute sauenture 	si luy compte toute sauanture ansi 	e luego le conto todo 	Si li conte tote sauenture 	Si gli conta tutta sua aventura 
2	com vos avés oi dire ça arrieres. 		si com li contes la retrait cha en arriere. 	comme le comte la dit cy deuant tant 	como le auia conel contesçido |asi como el cuento lo a deuisado 	ainsi com li contes la retraite. 	si come el libro l’à trattato qua adietro, 
3|4|5|6	tant qu’il conoist bien |que c’est il |qu’ele quiert a, |Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	tant quil cengnoit bien|que cest celle |qui le quiert/ |Mais pour le couroust |quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	Tant que il connoist bien |quele le quiert. |Mais pour le courous |quil a del senescal. 	que il cognoist bien |que cest il |quelle quiert. |Mais pour le courroux |quil a de la mort au seneschal ne se ueult il faire cognoistre 	e luego entendio boores |que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer 	Tant que il quenoit bien |que cest ele |que il le quiert. |mais por le corrous |quil auoit de la mort au seneschal: ne se wet faire 	tanto che conosce bene |che ciò est elli quelli |cui ella chiede, |ma per lo cruccio |ch’egli à della morte del siniscalco non si vuole fare cognoscere, 
			ne se volt il faire aconnoistre. 				
7|8	ains li respont: « |Certes, damoisele, chevalier 	mes leur respont certes damoiselle ie ne cengnois mie le cheualier 	Ains li respont. |Certes damoisele le cheualier 	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	conosçer antele rrespondio çierto donçella al cauallero 	quenoistre a li |si li dit. |Certes damoisele	anzi le risponde: |'Certo, damigella, il cavaliere 
9|10|11	qui porte escu blanc ne conois je nul. — |En non Dieu, sire, fet ele, |ce poise moi chierement. » 	qui porte les blances armes. |En nen dieu fait elle il me poyse monlt chierement. 	qui porte blanches armes |ne connois iou mie. Enon dieu sire fait elle che poise moi moult durement. 	qui porte escu blanc.|Certes sire fait elle |ce me poise 	que traia blancas armas no conozco yo |Pardios dixo la donçella mucho me Pesa caramjente 	qui port escu blanc ne sai ie nul. |En no dieu fait ele de ce me poise il trop durement. 	che porta lo scudo bianco non ne so io nulla. —A nome di Dio, dis’ella, |ciò pesa a mes. 
12|13|14	Et il n’en tient plus a li parole, |ains part si tost |com il l’ot commandee a Dieu a 	A donc sen part |et ne uoult plus parler il la commandee a dieu 	Lors le commande a dieu |et puis sen part de li 	et il ne tient plus parole a luy. |ains sem part |si tost |quil leut commandee a dieu 	e boores non quiso conella mas estar |e acomendo la a dios 	et il ne tient plus a li parole. |Ains sen part |si tost comme il lot comandee a dieu. 	E non tenne più a-llei parole, |anzi si parti si tosto come l’à comandata a dDio 
15	et chevalche en tel maniere jusqu’a tierce 	et sen ua. |et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies 	et cheuauche en tel maniere iusques a tierce.	et cheuauche en telle maniere |iucqua tierce 	e fuese e andubo tanto 	et cheuauche en tel maniere. 	e cavalca tanto in tale maniera infino qua a terza, 
16	tant qu’il vint a l’issue de la forest; 	tant quil uint a lissue de la forest 	Tant que il vint a lissue de la forest. 	tant quil uient a lissue de la fourest. 	que salio dela floresta 	tant quil uient a lissue de la forest 	tanto|che viene a l’uscita della foresta. 
17	et il torne a destre vers un chemin viés et ancien; 	et il tourna a destre uers ung petit chemyn uieil: 	et torne a destre en vn petit chemin viez 	et il tourne a destre vers ung chemin uieil et ancien. 	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	et il torne a destre uers le chemin uiee et acien 	Ed e torna a destra inverso uno camino vecchio e antico, 
18	si ne demora gueres 	si ne demoura gueres 	Si ne demora gaires 	Si ne demoura gueres 	e non andubo mucho 	Si ne demora gaires 	si non dimora guari 
19	qu’il vint a une eve P lee et parfonde, 	quil uint en une uallee/ |ou il couroit une eau monlt roidde la 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	quil uient a une caue lee et parfonde 	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	quil uient a une eue lee et parfonde. 	che viene a una acqua lata e perfonda, 
20|21	mais il n’i trueve pont |ne gué ne passage nul. 	quelle estoit grande et parfonde/ |et ne treuue ne pont ne planche |par ou il puisse passer. 	mais il ni troeue ne pont ne passage. 	mais il ny treuue pont |ne gue ne passage nul. 	e non fallo puente |por do Pudiese pasar 	mais il ni trueue ne pont |ne gue ne passaige nul. 	ma e' non vi truova né ponte né guado né passaggio nullo. 
22	Et il regarde d’autre part de l’eve, 	Sy regarde de laultre part de leaue 	Et il regarde de lautre part de laigue 	et il regarde de lautrepart de leaue 	e cato dela otra parte Del agua 	et lors regarde il dautre part de leue. 	Ed elli isguarda d’altra parte dell’acqua,
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . Il regarde grant piece le chastel 	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel	si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla ritonda. |eElli riguarda gran peza il castello, 
24	dont la façons li plest molt a regarder, 	car monlt luy plaisoit a uoir/ 	dont la fachons li plaisoit moult a regarder. 	dont la facon luy plaist moult a regarder 	ca mucho se pagaua delo catar 	dont Ia fasons li plait mout a esgarder. 	donde la fazion gli piace molto al riguardare, 
25|26|27	puis s’en torne contreval la riviere|por savoir |s’il i peust trover ne pont ne gué, 	puis sen tourne contre ual la riuiere |pour scauoir |sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	puis sen torne contremont la riuiere |pour sauoir |se il troueroit ne pont ne gue. 	puis sen retourne tout contreual la riuiere pour sauoir |sil pourroit trouuer |ne pont ne gue 	e despues torno la rribera ayuso |Por saber si podria fallar puente 	et puis sen torne tot contreual la riuere. |Por sauoir |se il i troueroit ne pont ne gue. 	poscia ritorna tutto contravalle la riviera|per sapere |se potrebbe trovare né ponte né guado, 
28|29|30|31|32|33|34|35	mais il n’en trueve point |et quant il voit |qu’il n’i passera, |si ne set |que fere, |que retorner ne voldroit il mie. |Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise,	mes il nen truue point.|Et il uoit ce |si ne scait |que faire/ |car retourner ne uoulloit pas. |A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise/ 	mais il ni trueue nul passage. |Et|quant il voit chou |si ne set |que faire |quar retorner ne volroit il en nulle maniere. |Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	Mais il ny en treuue point. |Et quant il uoit |quil ne puet passer |si ne scet |que faire |car retourner ne uouldroit il pas. |Adonc uoit yssir du chastel une damoisele |qui estoit toute nue en sa chemise. 	Por do pasase mas el no pudo fallar ninguna |e boores desque esto vido no sabia que se façer |ca el no se queria tomar en ninguna manera |Ansi estando vio del castillo salir vna donçella en camisa 	mais il nen i trurue point : |si ne sot|que faire |car retorner ne wet il mie atant uoit issir une damoisele dou chastel |qui estoit tote nue en sa chemisse 	ma e non ve ne truova punto, |e quand’e vede |che non potrà passare, |si non sa che fare, |ché ritornare non vorebbe elli mica. |?Atanto vide uscire una damigella del castello |ch’era tutta ignuda in sua camicia solamente,
36	si le menoient troi vilain molt vilainement a 	sy la menoient quatre ribaulx monlt felonneusement 	si le menoient. iiij. ribaut moult felenessement	si la menoyent quatre nibaux moult uilainement 	que traian quatro rribaldos muy sañudamente 	si la menoient. iiii.tre ribaus mout uilment. 	si-lla menavano iiii. rubaldi molto villanamente 
37	et tenoit chescuns une hache en sa main; 	et tenoient chascun en sa main ung coustel trenchant. 	et tenoit Cascuns en sa main. i. coutel trenchant. 	et tenoit ch̃un une hache en sa main. 	e cadavno traia enla mano vna lança 	et tenoit chascuns une hache en sa main. 	e tenieno ciascuno una acciaia in sua mano. 
